course_id,price,num_subscribers,num_reviews,num_lectures,rating,content_duration,level,subject,paid,Date
1170198,45,65,18,56,0.10999999940395355,10.0,4,3,1,2017-05-01
430992,20,65,7,77,0.10999999940395355,2.5,1,3,1,2015-06-09
101500,20,65,5,13,0.10999999940395355,4.0,2,3,1,2013-11-25
927336,30,65,8,20,0.14000000059604645,1.5,2,2,1,2016-09-27
499504,20,65,3,15,0.550000011920929,1.5,2,1,1,2015-05-19
743846,45,64,13,15,0.10999999940395355,1.5,1,3,1,2016-02-29
538560,20,64,15,14,0.5,1.0,2,1,1,2015-07-17
1189592,95,64,7,44,0.550000011920929,8.5,2,1,1,2017-05-03
444644,50,63,13,49,0.10999999940395355,1.0,1,3,1,2015-03-19
651352,20,62,9,41,0.3199999928474426,4.0,2,2,1,2016-02-09
1078520,195,62,6,27,0.2800000011920929,6.5,4,1,1,2017-03-20
1178820,35,62,10,19,0.11999999731779099,1.0,1,1,1,2017-04-25
1223310,50,62,1,49,0.10999999940395355,2.5,2,3,1,2017-05-29
1232356,50,62,1,22,0.10999999940395355,1.0,3,3,1,2017-05-29
588264,20,62,1,11,0.10999999940395355,1.0,1,3,1,2015-08-21
1170920,100,61,9,44,0.10999999940395355,2.0,1,4,1,2017-04-27
592122,0,61,1,31,0.10999999940395355,1.5,4,3,0,2015-09-01
628606,70,61,9,30,0.10999999940395355,4.0,3,3,1,2016-02-12
814474,50,61,5,36,0.07000000029802322,7.0,1,3,1,2016-04-08
773144,40,61,3,9,0.07000000029802322,1.5,1,3,1,2016-04-13
1233350,100,61,18,30,0.019999999552965164,1.5,2,1,1,2017-06-09
302456,40,61,16,22,0.30000001192092896,2.5,2,1,1,2015-07-16
537748,20,61,3,27,0.7799999713897705,5.0,2,1,1,2015-07-09
519212,25,60,6,38,0.07000000029802322,4.5,1,3,1,2015-12-15
1002272,50,59,8,29,0.07000000029802322,1.5,2,3,1,2016-11-24
1225564,60,59,8,7,0.7799999713897705,0.5833333134651184,2,1,1,2017-05-24
427040,20,59,11,7,0.7799999713897705,1.5,2,1,1,2015-02-25
676432,20,59,6,15,0.07000000029802322,1.0,2,3,1,2015-11-25
101504,20,59,3,6,0.07000000029802322,2.0,1,3,1,2013-11-26
932842,40,59,1,28,0.07000000029802322,4.0,2,3,1,2016-08-18
655958,20,58,1,10,0.07000000029802322,0.7333333492279053,2,3,1,2015-12-17
663696,20,58,4,47,0.07000000029802322,2.5,1,3,1,2015-11-17
583224,40,58,5,11,0.07000000029802322,0.5833333134651184,1,3,1,2015-08-17
572992,195,58,8,14,0.7799999713897705,1.0,1,1,1,2015-12-03
858764,20,58,11,28,0.7799999713897705,1.5,1,1,1,2016-06-14
471136,25,57,0,12,0.9599999785423279,2.0,1,2,1,2015-04-17
619786,195,57,11,18,0.8799999952316284,1.0,3,1,1,2016-05-16
1041522,95,57,13,14,0.8799999952316284,1.5,1,1,1,2016-12-21
1151398,90,57,11,23,0.8799999952316284,2.0,1,1,1,2017-03-31
867440,200,57,22,19,0.7799999713897705,3.0,1,1,1,2016-06-06
148982,20,57,3,16,0.550000011920929,2.0,2,2,1,2014-10-23
824020,50,57,6,57,0.07000000029802322,7.0,4,3,1,2016-04-22
835616,20,57,8,28,0.07000000029802322,1.0,1,3,1,2016-06-09
445118,35,57,9,9,0.07000000029802322,0.550000011920929,2,3,1,2015-03-15
147104,40,57,7,16,0.07000000029802322,4.0,1,3,1,2014-01-22
112602,25,57,2,16,0.07000000029802322,4.5,1,3,1,2013-11-14
742096,45,57,9,15,0.07000000029802322,2.0,2,3,1,2016-02-16
744034,40,56,3,28,0.07000000029802322,2.0,2,3,1,2016-04-13
132950,20,56,3,10,0.07000000029802322,0.6333333253860474,2,3,1,2013-12-13
1168910,65,56,16,7,0.15000000596046448,0.5666666626930237,2,2,1,2017-04-18
1209556,200,56,10,23,0.8799999952316284,2.5,1,1,1,2017-05-16
407658,20,56,8,18,0.8799999952316284,2.0,1,1,1,2015-07-10
65110,50,55,5,22,0.8799999952316284,12.5,1,1,1,2013-07-23
725658,75,55,2,27,0.8799999952316284,5.5,2,1,1,2016-01-13
788756,95,55,9,15,0.8799999952316284,1.0,1,1,1,2016-03-29
933818,40,55,8,13,0.07000000029802322,1.0,1,3,1,2017-01-24
892898,35,55,2,30,0.07000000029802322,2.0,1,3,1,2016-07-02
1131732,30,55,13,31,0.8799999952316284,1.5,1,4,1,2017-06-12
1255114,40,54,6,10,0.07000000029802322,1.0,1,3,1,2017-06-16
720072,20,54,7,69,0.07000000029802322,3.0,1,3,1,2016-01-22
1160066,175,54,0,18,0.07000000029802322,2.5,3,3,1,2017-03-30
1224262,60,54,4,6,0.8799999952316284,0.7166666388511658,1,1,1,2017-05-24
843536,120,54,11,12,0.8799999952316284,0.6000000238418579,2,1,1,2016-12-05
584468,20,53,5,9,0.07000000029802322,0.5833333134651184,2,3,1,2015-08-17
852426,20,53,5,39,0.07000000029802322,3.0,1,3,1,2016-06-01
894336,20,53,16,7,0.8799999952316284,1.0,2,1,1,2016-07-04
1225674,60,52,3,9,0.8799999952316284,1.0,1,1,1,2017-05-23
986272,200,52,8,21,0.8799999952316284,1.5,1,1,1,2016-10-29
310652,50,52,2,19,0.8700000047683716,2.5,1,2,1,2014-10-08
1103526,50,52,3,18,0.07000000029802322,2.0,3,3,1,2017-02-14
799912,95,51,7,42,0.07000000029802322,3.0,2,3,1,2016-03-23
134690,20,51,2,20,0.7099999785423279,2.0,1,2,1,2014-01-14
1225686,60,51,2,6,0.8799999952316284,0.699999988079071,1,1,1,2017-05-23
1107954,95,51,9,15,0.8799999952316284,0.5333333611488342,1,1,1,2017-03-02
425126,20,51,2,10,0.8799999952316284,2.0,1,1,1,2015-02-19
966268,50,50,12,28,0.20000000298023224,3.0,1,2,1,2016-09-27
364034,20,50,18,13,0.8799999952316284,1.5,2,1,1,2014-12-16
714188,20,50,6,12,0.8799999952316284,3.0,1,1,1,2016-01-04
917172,20,50,1,23,0.8799999952316284,1.5,1,1,1,2016-07-29
